projectId,skill_name,requiredLevel,priority
PROJ-001,Java,Senior,1.0
PROJ-001,Spring Boot,Senior,1.0
PROJ-001,Microservices,Middle,0.8
PROJ-001,AWS,Middle,0.7
PROJ-002,React,Senior,1.0
PROJ-002,JavaScript,Senior,0.9
PROJ-002,UI/UX Design,Middle,0.5
PROJ-002,Figma,Junior,0.3
PROJ-003,Python,Senior,1.0
PROJ-003,Fintech,Middle,0.7
PROJ-003,SQL,Middle,0.6
PROJ-004,Python,Senior,1.0
PROJ-004,Machine Learning,Senior,1.0
PROJ-004,Healthcare,Middle,0.8
PROJ-005,Java,Middle,0.9
PROJ-005,Education Tech,Junior,0.5
PROJ-006,Python,Middle,0.8
PROJ-006,Manufacturing,Middle,0.7
PROJ-007,Java,Senior,1.0
PROJ-007,Fintech,Senior,0.9
PROJ-008,Python,Senior,1.0
PROJ-008,Machine Learning,Senior,1.0
PROJ-008,Fintech,Middle,0.6
PROJ-009,React,Middle,0.8
PROJ-009,E-commerce,Middle,0.7
PROJ-010,Java,Senior,1.0
PROJ-010,Healthcare,Middle,0.8
PROJ-011,JavaScript,Middle,0.9
PROJ-011,Education Tech,Middle,0.7
PROJ-012,Python,Middle,0.8
PROJ-012,Manufacturing,Middle,0.7
PROJ-012,Docker,Junior,0.5
PROJ-013,Python,Senior,1.0
PROJ-013,Machine Learning,Senior,0.9
PROJ-013,Fintech,Middle,0.6
PROJ-014,Java,Middle,0.8
PROJ-014,Healthcare,Middle,0.7
PROJ-014,Kotlin,Junior,0.5
PROJ-015,Python,Senior,1.0
PROJ-015,Machine Learning,Senior,1.0
PROJ-015,E-commerce,Middle,0.7
PROJ-016,SQL,Middle,0.8
PROJ-016,Education Tech,Middle,0.6
PROJ-017,C++,Senior,1.0
PROJ-017,Manufacturing,Middle,0.7
PROJ-017,Computer Vision,Middle,0.6
PROJ-018,Java,Senior,1.0
PROJ-018,Fintech,Middle,0.7
PROJ-018,Microservices,Middle,0.6
PROJ-019,SQL,Senior,1.0
PROJ-019,Database Administration,Middle,0.8
PROJ-019,Healthcare,Middle,0.7
PROJ-020,Node.js,Senior,1.0
PROJ-020,E-commerce,Middle,0.8
PROJ-020,MongoDB,Middle,0.6
PROJ-021,Python,Senior,1.0
PROJ-021,NLP,Senior,1.0
PROJ-021,Education Tech,Middle,0.7
PROJ-022,Python,Middle,0.8
PROJ-022,Machine Learning,Middle,0.7
PROJ-022,Manufacturing,Middle,0.6
PROJ-023,Java,Senior,1.0
PROJ-023,Fintech,Middle,0.7
PROJ-024,Python,Senior,1.0
PROJ-024,Computer Vision,Senior,1.0
PROJ-024,Healthcare,Middle,0.8
PROJ-025,Python,Middle,0.8
PROJ-025,Data Analysis,Middle,0.7
PROJ-025,E-commerce,Middle,0.6
PROJ-026,JavaScript,Middle,0.9
PROJ-026,Education Tech,Middle,0.7
PROJ-027,Java,Middle,0.8
PROJ-027,QA/Testing,Middle,0.7
PROJ-027,Manufacturing,Middle,0.6
PROJ-028,Python,Senior,1.0
PROJ-028,Machine Learning,Senior,0.9
PROJ-028,Fintech,Middle,0.7
PROJ-029,Java,Senior,1.0
PROJ-029,Kotlin,Middle,0.8
PROJ-029,Healthcare,Middle,0.7
PROJ-030,React,Middle,0.9
PROJ-030,E-commerce,Middle,0.7
PROJ-031,Java,Senior,1.0
PROJ-031,Cyber Security,Middle,0.8
PROJ-031,Fintech,Middle,0.7
PROJ-032,Python,Senior,1.0
PROJ-032,Data Engineering,Middle,0.8
PROJ-032,Manufacturing,Middle,0.7
PROJ-033,JavaScript,Middle,0.9
PROJ-033,Unity,Middle,0.8 # Assuming Unity is a skill
PROJ-033,Education Tech,Middle,0.6
PROJ-034,SQL,Senior,1.0
PROJ-034,Database Administration,Middle,0.8
PROJ-034,Healthcare,Middle,0.7
PROJ-035,Java,Senior,1.0
PROJ-035,Microservices,Middle,0.8
PROJ-035,Fintech,Middle,0.7
PROJ-036,Python,Senior,1.0
PROJ-036,Machine Learning,Middle,0.8
PROJ-036,E-commerce,Middle,0.7
PROJ-037,C++,Senior,1.0
PROJ-037,Manufacturing,Middle,0.8
PROJ-038,Java,Middle,0.8
PROJ-038,Kotlin,Middle,0.7
PROJ-038,Healthcare,Middle,0.6
PROJ-039,JavaScript,Middle,0.9
PROJ-039,React,Middle,0.8
PROJ-039,Education Tech,Middle,0.7
PROJ-040,Python,Senior,1.0
PROJ-040,Data Analysis,Middle,0.8
PROJ-040,Fintech,Middle,0.7 # Assuming Fintech domain knowledge
PROJ-041,Python,Middle,0.9
PROJ-041,NLP,Middle,0.8
PROJ-041,E-commerce,Middle,0.7
PROJ-042,Java,Senior,1.0
PROJ-042,SQL,Middle,0.8
PROJ-042,Manufacturing,Middle,0.7
