projectId,projectName,domain,startDate,endDate,status
PROJ-001,Hệ thống Quản lý SkillGraph,AI,2024-01-15,2025-06-30,In-Progress
PROJ-002,Nền tảng E-commerce V3,E-commerce,2023-05-10,2024-12-20,Completed
PROJ-003,Ứng dụng Thanh toán Di động,Fintech,2024-03-01,2025-09-15,In-Progress
PROJ-004,Phân tích Dữ liệu Y tế,Healthcare,2023-11-20,2024-08-30,Completed
PROJ-005,Hệ thống Quản lý Học tập (LMS),Education Tech,2024-07-01,2025-12-31,Planning
PROJ-006,Tối ưu hóa Chuỗi Cung ứng,Manufacturing,2023-02-01,2024-03-10,Completed
PROJ-007,Cổng Thông tin Ngân hàng Mở,Fintech,2024-09-10,2025-11-20,In-Progress
PROJ-008,Dự báo Rủi ro Tín dụng (AI),Fintech,2024-05-20,2025-02-28,In-Progress
PROJ-009,Nâng cấp Hệ thống CRM,E-commerce,2024-02-12,2024-07-10,Completed
PROJ-010,Bệnh án Điện tử (EMR),Healthcare,2024-08-01,2026-01-30,Planning
PROJ-011,Nền tảng Dạy học Trực tuyến,Education Tech,2023-09-05,2024-06-15,Completed
PROJ-012,Quản lý Kho bãi Thông minh,Manufacturing,2024-04-18,2025-03-22,In-Progress
PROJ-013,Phát hiện Gian lận Giao dịch,Fintech,2024-10-01,2025-07-31,In-Progress
PROJ-014,Ứng dụng Chăm sóc Sức khỏe Từ xa,Healthcare,2024-06-11,2025-05-10,In-Progress
PROJ-015,Tối ưu hóa Gợi ý Sản phẩm (AI),E-commerce,2024-01-25,2024-10-30,In-Progress
PROJ-016,Hệ thống Quản lý Tuyển sinh,Education Tech,2024-11-01,2025-08-15,Planning
PROJ-017,Robot Tự hành trong Nhà máy,Manufacturing,2023-12-10,2024-11-30,Completed
PROJ-018,Ví điện tử Doanh nghiệp,Fintech,2024-03-20,2025-01-20,In-Progress
PROJ-019,Hệ thống Quản lý Bệnh viện,Healthcare,2023-10-15,2024-09-25,Completed
PROJ-020,Marketplace cho Sản phẩm B2B,E-commerce,2024-07-22,2025-04-18,In-Progress
PROJ-021,Trợ lý Ảo AI cho Lớp học,Education Tech,2024-05-05,2025-02-10,In-Progress
PROJ-022,Bảo trì Dự đoán (Predictive Maintenance),Manufacturing,2024-09-15,2025-10-01,Planning
PROJ-023,Nền tảng Vay ngang hàng (P2P),Fintech,2023-08-14,2024-05-20,Completed
